24;145E-03;1.75E-03;0.96
22;90.2E-03;2.50E-03;1.1
20;49.6E-03;3.65E-03;1.34
18;33.2E-03;5.45E-03;1.61
16;23E-03;7.75E-03;1.92
14;15.5E-03;1.09E-02;2.24
12;10.9E-03;1.55E-02;2.7
10;5.8E-03;2.40E-02;3.33
8;3.8E-03;3.90E-02;4.4
6;2.3E-03;6.37E-02;5.7
4;1.5E-03;9.63E-02;7.4
3;1.18E-03;9.40E-02;7.74
2;0.94E-03;1.17E-01;8.57
1;0.75E-03;1.44E-01;9.5
0;0.6E-03;1.81E-01;10.93
00;0.43E-03;2.30E-01;12.37
000;0.36E-03;2.76E-01;13.71
